color,description,id,img,link,material,price,title
blå,"Leonis 9-LED lommelykt. Stilig lykt med klart, hvitt lys fra 9 LED-pærer, armbånd og av-/på-knapp i enden. Krever 3 x AAA-batterier (ikke inkludert). Aluminium.",10410502,https://prodimg.unpr.io/itemimage/800/products/500/15963640d67124.jpg,https://www.xpressprofil.no/sortiment/andre/verktoy/lommelykter/88976640-223835/leonis-9-led-lommelykt,Aluminium.,"26,9",Leonis 9-LED lommelykt
grå,Omaha skulderveske. Skulderveske med åpent hovedrom som lukkes med klaff med spennelukking. Justerbar skulderreim. 600D polyester.,11973306,https://prodimg.unpr.io/itemimage/800/products/500/15963754e7bcc3.jpg,https://www.xpressprofil.no/sortiment/vesker/skuldervesker/89767180-226229/omaha-skulderveske,600D polyester.,"65,2",Omaha skulderveske
"naturhvit,kongeblå","Bomullsnett. Bomullsnett (227 g/m²) med åpent hovedrommet . Paneler i flere farger gjør dette til en perfekt bag for shopping, på stranden eller daglig bruk. 30 cm. doble håndtak. 227 g/m² bomull.",12025903,https://prodimg.unpr.io/itemimage/800/products/500/159637ab9d7071.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/90020040-226872/bomullsnett,227 g/m² bomull.,"34,14",Bomullsnett
"hvit,lilla","Bloomington messeveske. Fint nett til en rimelig pris for messer, konferanser og forretningsmøter med friske farger og den populære dyppfargetrenden. Åpent hovedrom og penneholder i front. Håndtakene er 30 cm. Accessoirer er ikke inkludert. 600D polyester.",12010004,https://prodimg.unpr.io/itemimage/800/products/500/15963781406ee5.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/89903480-226566/bloomington-messeveske,600D polyester.,"31,03",Bloomington messeveske
"hvit,kongeblå","Bloomington messeveske. Fint nett til en rimelig pris for messer, konferanser og forretningsmøter med friske farger og den populære dyppfargetrenden. Åpent hovedrom og penneholder i front. Håndtakene er 30 cm. Accessoirer er ikke inkludert. 600D polyester.",12010003,https://prodimg.unpr.io/itemimage/800/products/500/159637813a6997.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/89903480-226565/bloomington-messeveske,600D polyester.,"31,03",Bloomington messeveske
"hvit,rød","Bloomington messeveske. Fint nett til en rimelig pris for messer, konferanser og forretningsmøter med friske farger og den populære dyppfargetrenden. Åpent hovedrom og penneholder i front. Håndtakene er 30 cm. Accessoirer er ikke inkludert. 600D polyester.",12010001,https://prodimg.unpr.io/itemimage/800/products/500/15963781323dc7.jpg,https://www.xpressprofil.no/sortiment/vesker/bags-og-poser/bager/89903480-226563/bloomington-messeveske,600D polyester.,"31,03",Bloomington messeveske
Orange,"Caps i bomull , 5 paneler med sandwich skjerm og borrelåsjustering",GI9120-07,https://prodimg.unpr.io/itemimage/1124/products/500/15cd64ae930b26.jpg,https://www.xpressprofil.no/sortiment/kapser-hodeplagg/kapser/112103460-408144/caps-med-6-paneler-og-sandwich,"PVC, Bomull Twill 23x23","21,32",Caps med 6 paneler og sandwich
svart ensfarget,Norquay vattert jakke dame. sateng.Innvendig stormklaff med hakebeskyttelse.Kontrastfarget glidelås sentrert i front.Håndlommer med glidelås.Formede sømmer og midje for bedre passform.Elastikk.Drastykker til glidelås med godt grep.Kontrastfarget hempe.Transferlabel for etikettfri komfort. 290T vevet 100% polyester med vannavstøtende finish. Vattering i 100% polyester. 60 g/m².,3932299,https://prodimg.unpr.io/itemimage/800/products/500/15b3357a55d8c7.jpg,https://www.xpressprofil.no/sortiment/profilklar/jakker/sesongjakker/108476940-289629/norquay-vattert-jakke-dame,290T vevet 100% polyester med vannavstøtende finish. Vattering i 100% polyester.,"610,4",Norquay vattert jakke dame
neonblå,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989211,https://prodimg.unpr.io/itemimage/800/products/500/15a52e0ac98457.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-253886/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
sølv,"Notatbok A5 i metallfarger. Notatbok A5 med hard perm og matchende strikk, penneloop og sidemarkeringsbånd. 96 linjerte kremfargede ark (80 gr/m²) med datofelt trykket på toppen av hvert ark. Innvendig lomme bakerst for notater etc. Leveres i sort eske. PU skinn.",10705202,https://prodimg.unpr.io/itemimage/800/products/500/15988073574128.jpg,https://www.xpressprofil.no/sortiment/kontor/notatblokker/90756060-229266/notatbok-a5-i-metallfarger,PU skinn.,59,Notatbok A5 i metallfarger
gullgul,"Notatbok A5 i metallfarger. Notatbok A5 med hard perm og matchende strikk, penneloop og sidemarkeringsbånd. 96 linjerte kremfargede ark (80 gr/m²) med datofelt trykket på toppen av hvert ark. Innvendig lomme bakerst for notater etc. Leveres i sort eske. PU skinn.",10705200,https://prodimg.unpr.io/itemimage/800/products/500/159880734f2fa1.jpg,https://www.xpressprofil.no/sortiment/kontor/notatblokker/90756060-229264/notatbok-a5-i-metallfarger,PU skinn.,59,Notatbok A5 i metallfarger
blå,"Vribart lekkasjesikkert kobber vakuumisolert tumblerglass. Lekkasjesikker design, skrue-på vri åpent lokk. Dobbel kobber vakuumisolert rustfritt stålkonstruksjon. Holder drikke varmt i 8 timer og kaldt i 24 timer. Volumet er 470ml. Presentert i en Avenue gaveeske. Rustfritt stål.",10053403,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac54115e4.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/109041880-291649/vribart-lekkasjesikkert-kobber-vakuumisolert-tumblerglass,Rustfritt stål.,"170,7",Vribart lekkasjesikkert kobber vakuumisolert tumblerglass
Gul refleks,Du fester refleksen ved å slå den lett mot armen eller foten. Refleksen snor seg lynraskt rundt armen eller foten og sitter svært godt! ,C-69171-3,https://prodimg.unpr.io/itemimage/940/products/500/5ccffa3a495c8.jpg,https://www.xpressprofil.no/sortiment/reflekser/refleksband/143299240-407433/slapwrap-hvit-gul,,"7,6",Slapwrap hvit/gul
hvit,"Vribart lekkasjesikkert kobber vakuumisolert tumblerglass. Lekkasjesikker design, skrue-på vri åpent lokk. Dobbel kobber vakuumisolert rustfritt stålkonstruksjon. Holder drikke varmt i 8 timer og kaldt i 24 timer. Volumet er 470ml. Presentert i en Avenue gaveeske. Rustfritt stål.",10053402,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac53c779b.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/109041880-291648/vribart-lekkasjesikkert-kobber-vakuumisolert-tumblerglass,Rustfritt stål.,"170,7",Vribart lekkasjesikkert kobber vakuumisolert tumblerglass
svart ensfarget,"Vribart lekkasjesikkert kobber vakuumisolert tumblerglass. Lekkasjesikker design, skrue-på vri åpent lokk. Dobbel kobber vakuumisolert rustfritt stålkonstruksjon. Holder drikke varmt i 8 timer og kaldt i 24 timer. Volumet er 470ml. Presentert i en Avenue gaveeske. Rustfritt stål.",10053400,https://prodimg.unpr.io/itemimage/800/products/500/15b67ac50c685a.jpg,https://www.xpressprofil.no/sortiment/kopper-glass/termokrus/109041880-291646/vribart-lekkasjesikkert-kobber-vakuumisolert-tumblerglass,Rustfritt stål.,"170,7",Vribart lekkasjesikkert kobber vakuumisolert tumblerglass
neongul,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989210,https://prodimg.unpr.io/itemimage/800/products/500/15a52e0ac66136.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-253885/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
neonoransje,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989209,https://prodimg.unpr.io/itemimage/800/products/500/15a52e0ac336fa.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-253884/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
neonrosa,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989208,https://prodimg.unpr.io/itemimage/800/products/500/15a52e0abf3ad8.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-253883/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
neongrønn,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989207,https://prodimg.unpr.io/itemimage/800/products/500/15a52e0abc18b2.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-253882/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
lime,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989206,https://prodimg.unpr.io/itemimage/800/products/500/1596376292d13d.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226352/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
svart ensfarget,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989204,https://prodimg.unpr.io/itemimage/800/products/500/159637628a2fe7.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226350/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
oransje,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989203,https://prodimg.unpr.io/itemimage/800/products/500/1596376285adfa.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226349/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
Gul,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989202,https://prodimg.unpr.io/itemimage/800/products/500/159637627dc92d.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226348/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
rød,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989201,https://prodimg.unpr.io/itemimage/800/products/500/15963762799e1d.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226347/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
blå,Taggy bagasjelapp. Flip-open adresselapp med gummibånd. ID-etikett på innsiden. ABS-plast.,11989200,https://prodimg.unpr.io/itemimage/800/products/500/1596376275b800.jpg,https://www.xpressprofil.no/sortiment/sport-fritid/reise/adresselappholder/89807600-226346/taggy-bagasjelapp,ABS-plast.,"4,14",Taggy bagasjelapp
